33.894868 130.842017  7 07:49:26.501  688 -2 
33.894860 130.842013  7 07:49:28.169  817 0 
33.894850 130.842007  7 07:49:28.977 1138 1 
33.894845 130.841995  7 07:49:30.105 1331 -8 
33.894838 130.842002  6 07:49:31.427 1202 -7 
33.894827 130.842003  6 07:49:32.620  880 -6 
33.894815 130.842010  6 07:49:33.490  688 -5 
33.894807 130.842003  6 07:49:35.158  828 -3 
33.894813 130.841998  6 07:49:35.977 1149 -2 
33.894803 130.841995  6 07:49:37.116 1331 -1 
33.894800 130.841975  4 07:49:38.438 1191 0 
33.894792 130.841973  4 07:49:39.620  869 1 
33.894777 130.841975  4 07:49:40.479  688 -8 
33.894775 130.841983  4 07:49:42.148  838 -6 
33.894777 130.841985  4 07:49:42.976 1160 -5 
33.894765 130.841982  4 07:49:44.127 1331 -4 
33.894768 130.841992  4 07:49:45.449 1180 -3 
33.894750 130.842022  4 07:49:46.619  859 -2 
33.894760 130.842060  5 07:49:47.469  688 -1 
33.894758 130.842082  5 07:49:49.138  848 1 
33.894732 130.842075  4 07:49:49.976 1170 2 
33.894728 130.842082  4 07:49:51.137 2331 -6 
33.894663 130.842022  4 07:49:53.458 2171 -5 
33.894660 130.842017  4 07:49:55.620  849 -4 
33.894672 130.841988  4 07:49:56.460  687 -2 
33.894667 130.841993  4 07:49:58.127  858 0 
33.894677 130.842008  5 07:49:58.976 1180 1 
33.894688 130.842023  5 07:50:00.146 1332 -8 
33.894678 130.842000  5 07:50:01.469 1161 -7 
33.894705 130.842023  5 07:50:02.621  838 -6 
33.894725 130.842030  6 07:50:03.449  687 -5 
33.894725 130.842025  5 07:50:05.117  868 -3 
33.894717 130.842033  5 07:50:05.975 1191 -2 
33.894715 130.842032  5 07:50:07.156 1333 -1 
33.894728 130.842035  5 07:50:08.480 1151 0 
33.894737 130.842025  5 07:50:09.622  827 1 
33.894747 130.842015  5 07:50:10.439  686 -8 
33.894738 130.841997  5 07:50:12.106  878 -6 
33.894733 130.841995  4 07:50:12.975 1201 -5 
33.894718 130.841993  4 07:50:14.166 1333 -4 
33.894708 130.841968  5 07:50:15.490 1141 -3 
33.894703 130.841950  5 07:50:16.622  817 -2 
33.894695 130.841952  5 07:50:17.429  686 -1 
33.894692 130.841938  6 07:50:19.096  888 1 
33.894695 130.841933  6 07:50:19.974 1212 2 
33.894698 130.841922  6 07:50:21.177 2333 -6 
33.894713 130.841925  6 07:50:23.501 2130 -5 
33.894698 130.841948  5 07:50:25.622  806 -4 
33.894713 130.841930  5 07:50:26.418  686 -2 
33.894705 130.841930  6 07:50:28.085  899 0 
33.894692 130.841922  6 07:50:28.975 1222 1 
33.894708 130.841912  5 07:50:30.187 1333 -8 
33.894715 130.841892  3 07:50:31.511 1120 -7 
33.894698 130.841880  5 07:50:32.621  797 -6 
33.894667 130.841910  6 07:50:33.409  686 -5 
33.894677 130.841890  7 07:50:35.075  909 -3 
33.894695 130.841868  6 07:50:35.975 1232 -2 
33.894688 130.841878  5 07:50:37.197 1333 -1 
33.894613 130.841947  6 07:50:38.521 1110 0 
33.894593 130.841968  6 07:50:39.621  787 1 
33.894582 130.841965  7 07:50:40.399  686 -8 
33.894580 130.841952  6 07:50:42.066  918 -6 
33.894572 130.841938  7 07:50:42.974 1242 -5 
33.894547 130.841953  7 07:50:44.206 1334 -4 
33.894537 130.841928  5 07:50:45.531 1101 -3 
33.894547 130.841913  6 07:50:46.623  776 -2 
33.894548 130.841915  8 07:50:47.389  685 -1 
33.894552 130.841925  8 07:50:49.055  928 1 
33.894513 130.841948  8 07:50:49.973 1253 2 
33.894510 130.841935  7 07:50:51.217 2334 -6 
33.894562 130.841898  7 07:50:53.541 2091 -5 
33.894592 130.841897  7 07:50:55.623  766 -4 
33.894627 130.841888  8 07:50:56.380  684 -2 
33.894637 130.841882  7 07:50:58.044  938 0 
33.894673 130.841862  7 07:50:58.973 1263 1 
33.894700 130.841852  8 07:51:00.226 1335 -8 
33.894728 130.841810  8 07:51:01.552 1081 -7 
33.894748 130.841792  8 07:51:02.623  756 -6 
33.894753 130.841795  8 07:51:03.370  684 -5 
33.894760 130.841793  8 07:51:05.034  948 -3 
33.894760 130.841793  8 07:51:05.973 1273 -2 
33.894768 130.841783  8 07:51:07.236 1335 -1 
33.894762 130.841775  7 07:51:08.562 1071 0 
33.894747 130.841767  7 07:51:09.623  746 1 
33.894707 130.841775  7 07:51:10.360  684 -8 
33.894685 130.841777  6 07:51:12.024  958 -6 
33.894670 130.841777  5 07:51:12.973 1283 -5 
33.894658 130.841777  5 07:51:14.246 1335 -4 
33.894638 130.841772  6 07:51:15.572 1061 -3 
33.894627 130.841767  6 07:51:16.623  736 -2 
33.894637 130.841753  5 07:51:17.350  684 -1 
33.894645 130.841737  6 07:51:19.014  968 1 
33.894628 130.841743  6 07:51:19.973 1293 2 
33.894665 130.841723  7 07:51:21.257 2334 -6 
33.894637 130.841733  7 07:51:23.581 2051 -5 
33.894597 130.841745  7 07:51:25.623  726 -4 
33.894570 130.841757  7 07:51:26.340  684 -2 
33.894577 130.841757  7 07:51:28.004  978 0 
33.894590 130.841748  6 07:51:28.973 1303 1 
33.894593 130.841740  6 07:51:30.266 1335 -8 
33.894613 130.841733  6 07:51:31.592 1041 -7 
33.894620 130.841728  6 07:51:32.623  716 -6 
33.894632 130.841715  6 07:51:33.330  684 -5 
33.894638 130.841712  6 07:51:34.995  987 -3 
33.894638 130.841707  6 07:51:35.972 1313 -2 
33.894640 130.841690  6 07:51:37.276 1335 -1 
33.894620 130.841690  6 07:51:38.601 1032 0 
33.894628 130.841680  6 07:51:39.624  706 1 
33.894623 130.841675  6 07:51:40.321  683 -8 
33.894618 130.841682  6 07:51:41.984  997 -6 
33.894615 130.841685  6 07:51:42.972 1323 -5 
33.894615 130.841685  6 07:51:44.286 1335 -4 
33.894610 130.841682  6 07:51:45.611 1022 -3 
33.894618 130.841677  7 07:51:46.624  696 -2 
33.894617 130.841675  7 07:51:47.310  684 -1 
33.894627 130.841670  6 07:51:48.975 1007 1 
33.894628 130.841667  7 07:51:49.972 1333 2 
33.894620 130.841655  7 07:51:51.296 2335 -6 
33.894672 130.841667  7 07:51:53.622 2011 -5 
33.894672 130.841668  6 07:51:55.624  685 -4 
33.894667 130.841660  5 07:51:56.299  684 -2 
33.894667 130.841645  6 07:51:57.964 1018 0 
33.894658 130.841632  6 07:51:58.972 1344 1 
33.894628 130.841617  6 07:52:00.307 1335 -8 
33.894623 130.841617  6 07:52:01.633 1000 -7 
33.894632 130.841605  6 07:52:02.623  675 -6 
33.894630 130.841592  6 07:52:03.289  684 -5 
33.894627 130.841592  6 07:52:04.954 1028 -3 
33.894610 130.841588  6 07:52:05.972 1354 -2 
33.894608 130.841578  6 07:52:07.317 1335 -1 
33.894597 130.841573  6 07:52:08.643  990 0 
33.894610 130.841567  6 07:52:09.623  665 1 
33.894600 130.841567  6 07:52:10.279  684 -8 
33.894612 130.841555  6 07:52:11.944 1038 -6 
33.894597 130.841555  6 07:52:12.972 1364 -5 
33.894612 130.841538  6 07:52:14.327 1335 -4 
33.894618 130.841538  6 07:52:15.652  981 -3 
33.894620 130.841535  6 07:52:16.624  655 -2 
33.894618 130.841535  6 07:52:17.269  684 -1 
33.894608 130.841532  6 07:52:18.934 1048 1 
33.894613 130.841523  6 07:52:19.973 1373 2 
33.894610 130.841497  6 07:52:21.336 2335 -6 
33.894608 130.841478  6 07:52:23.662 1971 -5 
33.894618 130.841470  6 07:52:25.624  645 -4 
33.894632 130.841463  6 07:52:26.260  683 -2 
33.894635 130.841455  6 07:52:27.923 1058 0 
33.894632 130.841448  6 07:52:28.972 1384 1 
33.894612 130.841428  6 07:52:30.346 1336 -8 
33.894602 130.841422  7 07:52:31.673  961 -7 
33.894592 130.841425  7 07:52:32.625  634 -6 
33.894593 130.841422  7 07:52:34.239  693 -4 
33.894595 130.841428  7 07:52:34.923 1068 -3 
33.894597 130.841437  6 07:52:35.981 1385 -2 
33.894608 130.841438  6 07:52:37.357 1326 -1 
33.894587 130.841437  6 07:52:38.674  950 0 
33.894585 130.841430  6 07:52:39.614  634 1 
33.894592 130.841425  6 07:52:41.229  703 -7 
33.894600 130.841432  6 07:52:41.922 1079 -6 
33.894605 130.841428  6 07:52:42.992 1385 -5 
33.894630 130.841418  6 07:52:44.368 1315 -4 
33.894637 130.841410  6 07:52:45.673  940 -3 
33.894633 130.841402  6 07:52:46.604  634 -2 
33.894630 130.841405  6 07:52:48.218  714 0 
33.894627 130.841403  6 07:52:48.923 1089 1 
33.894607 130.841407  7 07:52:50.003 1384 -8 
33.894602 130.841393  7 07:52:51.377 1305 -7 
33.894612 130.841370  6 07:52:52.673  930 -6 
33.894612 130.841363  6 07:52:53.593  635 -5 
33.894618 130.841362  6 07:52:55.209  724 -3 
33.894632 130.841357  6 07:52:55.924 1098 -2 
33.894630 130.841358  6 07:52:57.012 1384 -1 
33.894618 130.841358  7 07:52:58.387 1295 0 
33.894615 130.841357  7 07:52:59.673  920 1 
33.894592 130.841373  7 07:53:00.583  635 -8 
33.894582 130.841375  6 07:53:02.199  734 -6 
33.894575 130.841372  6 07:53:02.923 1109 -5 
33.894588 130.841362  7 07:53:04.023 1384 -4 
33.894605 130.841362  7 07:53:05.398 1284 -3 
33.894622 130.841348  7 07:53:06.672  910 -2 
33.894623 130.841335  6 07:53:07.573  635 -1 
33.894630 130.841330  6 07:53:09.188  745 1 
33.894640 130.841325  6 07:53:09.924 1119 2 
33.894643 130.841320  6 07:53:11.033 2384 -6 
33.894620 130.841303  6 07:53:13.408 2274 -5 
33.894630 130.841280  6 07:53:15.673  899 -4 
33.894610 130.841270  6 07:53:16.563  634 -2 
33.894600 130.841268  6 07:53:18.178  754 0 
33.894593 130.841268  6 07:53:18.922 1130 1 
33.894573 130.841277  6 07:53:20.043 1385 -8 
33.894550 130.841282  7 07:53:21.418 1265 -7 
33.894542 130.841285  6 07:53:22.674  889 -6 
33.894540 130.841280  7 07:53:23.554  633 -5 
33.894543 130.841278  7 07:53:25.167  764 -3 
33.894548 130.841287  6 07:53:25.922 1140 -2 
33.894547 130.841290  7 07:53:27.052 1386 -1 
33.894543 130.841293  7 07:53:28.429 1255 0 
33.894550 130.841295  7 07:53:29.674  879 1 
33.894550 130.841285  8 07:53:30.544  633 -8 
33.894550 130.841260  8 07:53:32.158  773 -6 
33.894548 130.841250  8 07:53:32.922 1149 -5 
33.894557 130.841247  8 07:53:34.061 1386 -4 
33.894562 130.841252  7 07:53:35.438 1246 -3 
33.894572 130.841253  7 07:53:36.674  870 -2 
33.894567 130.841263  7 07:53:37.535  633 -1 
33.894583 130.841262  7 07:53:39.149  782 1 
33.894600 130.841260  7 07:53:39.921 1159 2 
33.894605 130.841263  7 07:53:41.071 2386 -6 
33.894622 130.841273  6 07:53:43.448 2236 -5 
33.894628 130.841278  7 07:53:45.675  859 -4 
33.894628 130.841275  7 07:53:46.524  633 -2 
33.894630 130.841277  7 07:53:48.138  793 0 
33.894628 130.841262  7 07:53:48.921 1170 1 
33.894622 130.841263  7 07:53:50.082 1386 -8 
33.894622 130.841270  4 07:53:51.459 1225 -7 
33.894608 130.841278  5 07:53:52.674  849 -6 
33.894622 130.841255  5 07:53:53.514  633 -5 
33.894607 130.841265  5 07:53:55.127  804 -3 
33.894605 130.841268  5 07:53:55.922 1180 -2 
33.894613 130.841268  5 07:53:57.092 1386 -1 
33.894610 130.841282  6 07:53:58.469 1215 0 
33.894618 130.841282  6 07:53:59.675  838 1 
33.894643 130.841272  6 07:54:00.503  633 -8 
33.894652 130.841277  6 07:54:02.117  814 -6 
33.894658 130.841278  6 07:54:02.921 1191 -5 
33.894648 130.841288  6 07:54:04.103 1386 -4 
33.894645 130.841323  5 07:54:05.480 1204 -3 
33.894657 130.841323  6 07:54:06.674  828 -2 
33.894668 130.841328  6 07:54:07.493  633 -1 
33.894687 130.841315  6 07:54:09.106  825 1 
33.894698 130.841315  6 07:54:09.922 1201 2 
33.894710 130.841322  6 07:54:11.114 2385 -6 
33.894725 130.841322  8 07:54:13.489 2194 -5 
33.894740 130.841283  8 07:54:15.674  818 -4 
33.894740 130.841282  8 07:54:16.483  633 -2 
33.894715 130.841302  8 07:54:18.097  834 0 
33.894695 130.841318  8 07:54:18.921 1211 1 
33.894687 130.841318  6 07:54:20.123 1386 -8 
33.894687 130.841320  7 07:54:21.499 1185 -7 
33.894695 130.841310  8 07:54:22.675  808 -6 
33.894688 130.841293  7 07:54:23.473  633 -5 
33.894697 130.841287  7 07:54:25.087  844 -3 
33.894707 130.841283  6 07:54:25.922 1220 -2 
33.894717 130.841278  6 07:54:27.132 1386 -1 
33.894743 130.841262  6 07:54:28.508 1176 0 
33.894757 130.841255  7 07:54:29.675  799 1 
33.894773 130.841252  7 07:54:30.464  633 -8 
33.894792 130.841248  7 07:54:32.078  853 -6 
33.894802 130.841247  7 07:54:32.922 1229 -5 
33.894797 130.841257  7 07:54:34.141 1386 -4 
33.894752 130.841270  7 07:54:35.518 1166 -3 
33.894750 130.841270  7 07:54:36.675  789 -2 
33.894738 130.841270  7 07:54:37.454  633 -1 
33.894732 130.841263  7 07:54:39.068  863 1 
33.894737 130.841253  7 07:54:39.921 1240 2 
33.894737 130.841247  7 07:54:41.152 2386 -6 
33.894742 130.841240  7 07:54:43.529 2155 -5 
33.894757 130.841238  7 07:54:45.674  779 -4 
33.894757 130.841243  7 07:54:46.444  633 -2 
33.894765 130.841245  7 07:54:48.058  873 0 
33.894768 130.841240  7 07:54:48.921 1250 1 
