-10550.0 -67203.0   87.8 07:50:28.800 
-10549.0 -67163.0   87.8 07:50:28.900 
-10548.0 -67125.0   87.7 07:50:29.002 
-10546.0 -67090.0   87.8 07:50:29.100 
-10545.0 -67052.0   87.8 07:50:29.200 
-10544.0 -67010.0   87.8 07:50:29.300 
-10542.0 -66965.0   87.8 07:50:29.400 
-10541.0 -66917.0   87.8 07:50:29.500 
-10539.0 -66867.0   87.8 07:50:29.601 
-10537.0 -66813.0   87.8 07:50:29.700 
-10535.0 -66758.0   87.8 07:50:29.800 
-10533.0 -66702.0   87.7 07:50:29.900 
-10531.0 -66647.0   87.8 07:50:30.001 
-10529.0 -66597.0   87.8 07:50:30.101 
-10528.0 -66547.0   87.8 07:50:30.201 
-10526.0 -66500.0   87.8 07:50:30.301 
-10525.0 -66455.0   87.8 07:50:30.401 
-10523.0 -66413.0   87.8 07:50:30.501 
-10522.0 -66376.0   87.4 07:50:30.601 
-10520.0 -66341.0   86.5 07:50:30.704 
-10518.0 -66309.0   84.9 07:50:30.801 
-10515.0 -66280.0   84.0 07:50:30.901 
-10513.0 -66253.0   83.9 07:50:31.001 
-10510.0 -66230.0   83.9 07:50:31.101 
-10508.0 -66208.0   83.9 07:50:31.201 
-10505.0 -66183.0   83.9 07:50:31.301 
-10503.0 -66155.0   83.9 07:50:31.401 
-10499.0 -66124.0   83.8 07:50:31.501 
-10496.0 -66091.0   83.8 07:50:31.601 
-10492.0 -66054.0   83.8 07:50:31.701 
-10488.0 -66014.0   83.8 07:50:31.801 
-10483.0 -65971.0   83.8 07:50:31.901 
-10479.0 -65926.0   83.8 07:50:32.002 
-10474.0 -65877.0   83.7 07:50:32.102 
-10468.0 -65826.0   83.7 07:50:32.202 
-10462.0 -65772.0   83.7 07:50:32.301 
-10456.0 -65714.0   83.7 07:50:32.401 
-10450.0 -65654.0   83.6 07:50:32.502 
-10443.0 -65592.0   83.6 07:50:32.602 
-10437.0 -65531.0   83.6 07:50:32.702 
-10431.0 -65473.0   83.5 07:50:32.802 
-10425.0 -65420.0   83.6 07:50:32.902 
-10419.0 -65369.0   83.6 07:50:33.002 
-10414.0 -65321.0   83.7 07:50:33.102 
-10409.0 -65275.0   83.7 07:50:33.202 
-10405.0 -65232.0   83.4 07:50:33.302 
-10400.0 -65194.0   82.6 07:50:33.402 
-10396.0 -65158.0   82.6 07:50:33.502 
-10391.0 -65125.0   82.4 07:50:33.602 
-10388.0 -65095.0   82.3 07:50:33.702 
