18.015 29.901 111 500
18.581 29.893 112 500
19.128 29.892 113 500
19.128 29.892 114 500
19.472 29.869 115 500
19.944 29.808 116 500
20.438 29.759 117 500
20.968 29.715 118 500
21.979 29.638 119 500
22.401 29.614 120 500
22.561 29.601 121 500
22.829 29.583 122 500
23.386 29.539 123 500
23.781 29.509 124 500
24.189 29.483 125 500
24.189 29.483 126 500
24.791 29.411 127 500
25.345 29.351 128 500
25.879 29.304 129 500
26.476 29.249 130 500
27.042 29.189 131 500
27.567 29.163 132 500
28.170 29.119 133 500
28.682 29.067 134 500
29.142 29.021 135 500
29.598 28.984 136 500
30.054 28.927 137 500
30.546 28.889 138 500
30.997 28.856 139 500
31.512 28.818 140 500
31.983 28.768 141 500
31.983 28.768 142 500
32.485 28.736 143 500
32.958 28.707 144 500
33.465 28.651 145 500
33.465 28.651 146 500
33.465 28.651 147 500
33.465 28.651 148 500
33.942 28.614 149 500
33.942 28.614 150 500
33.942 28.614 151 500
33.942 28.614 152 500
33.942 28.614 153 500
33.942 28.614 154 500
34.438 28.575 155 500
34.438 28.575 156 500
34.855 28.524 157 500
35.224 28.499 158 500
35.669 28.459 159 500
35.669 28.459 160 500
36.111 28.416 161 500
36.534 28.371 162 500
37.028 28.224 163 500
37.500 28.192 164 500
37.981 28.134 165 500
38.442 28.081 166 500
38.868 28.053 167 500
39.420 27.996 168 500
39.874 27.900 169 500
40.339 27.883 170 500
40.910 27.826 171 500
41.525 27.778 172 500
41.525 27.778 173 500
42.082 27.733 174 500
42.616 27.691 175 500
43.173 27.653 176 500
43.683 27.614 177 500
44.212 27.568 178 500
44.718 27.544 179 500
45.298 27.490 180 500
45.791 27.454 181 500
46.340 27.425 182 500
46.816 27.405 183 500
46.973 27.389 184 500
47.029 27.367 185 500
47.029 27.367 186 500
47.293 27.310 187 500
47.293 27.310 188 500
48.185 27.255 189 500
48.854 27.223 190 500
50.245 27.128 191 500
51.575 27.042 192 500
52.260 27.021 193 500
52.962 26.982 194 500
53.599 26.961 195 500
53.599 26.961 196 500
54.940 26.892 197 500
55.569 26.861 198 500
56.283 26.843 199 500
56.952 26.815 200 500
57.578 26.790 201 500
58.200 26.786 202 500
59.534 26.714 203 500
60.186 26.696 204 500
60.740 26.661 205 500
61.318 26.610 206 500
62.032 26.541 207 500
62.687 26.475 208 500
63.403 26.405 209 500
63.778 26.355 210 500
63.778 26.355 211 500
63.778 26.355 212 500
63.778 26.355 213 500
63.652 26.375 214 500
63.652 26.375 215 500
63.652 26.375 216 500
63.652 26.375 217 500
64.073 26.328 218 500
64.474 26.286 219 500
64.932 26.253 220 500
65.442 26.245 221 500
65.442 26.245 222 500
66.495 26.148 223 500
66.633 26.031 224 500
66.633 26.031 225 500
66.649 25.951 226 500
66.649 25.951 227 500
66.606 25.868 228 500
66.606 25.868 229 500
66.606 25.868 230 500
66.606 25.868 231 500
66.617 25.582 232 500
66.617 25.582 233 500
66.650 25.111 234 500
66.640 24.678 235 500
66.646 23.753 236 500
66.646 23.753 237 500
66.637 23.051 238 500
66.620 22.440 239 500
66.610 21.850 240 500
66.590 21.577 241 500
66.547 21.128 242 500
66.488 20.654 243 500
66.406 19.774 244 500
66.406 19.774 245 500
66.329 19.333 246 500
66.157 17.856 247 500
66.035 16.927 248 500
66.035 16.927 249 500
65.952 16.237 250 500
65.872 15.846 251 500
65.812 15.443 252 500
65.715 15.018 253 500
65.630 14.531 254 500
65.504 13.964 255 500
65.250 12.976 256 500
65.250 12.976 257 500
65.541 12.369 258 500
65.284 11.284 259 500
65.164 10.727 260 500
65.026 10.175 261 500
64.944 9.722 262 500
64.838 9.101 263 500
64.725 8.469 264 500
64.629 7.816 265 500
64.528 7.165 266 500
64.436 6.451 267 500
64.335 5.804 268 500
64.246 5.145 269 500
64.137 4.437 270 500
